term,category,description,era
Internet Research Agency,State Op - Russia,"Russian troll farm in St. Petersburg, indicted by Mueller for 2016 election interference",2013-present
IRA,State Op - Russia,Common abbreviation for Internet Research Agency,2013-present
Glavset,State Op - Russia,Corporate parent/successor name for the Internet Research Agency,2013-present
Project Lakhta,State Op - Russia,Umbrella project name for IRA's foreign influence operations including 2016 US election interference,2014-present
Doppelganger,State Op - Russia,"Russian operation creating cloned mainstream news sites (e.g. fake Washington Post, Der Spiegel) to spread Kremlin narratives",2022-present
Storm-1516,State Op - Russia,Microsoft-tracked GRU-linked operation producing fake whistleblower videos and AI-generated content; ran Harris hit-and-run hoax,2023-present
Storm-1099,State Op - Russia,Russian operation creating fake news websites associated with Doppelganger infrastructure,2022-present
Storm-1679,State Op - Russia,"Russian operation producing fake documentaries and ""news reports"" from invented credible-looking organizations",2022-present
Matryoshka,State Op - Russia,"Russian disinfo campaign (aka Operation Overload) that targets fact-checkers with fake content asking them to ""verify"" it",2022-present
Operation Overload,State Op - Russia,Alternative name for the Matryoshka campaign,2022-present
Secondary Infektion,State Op - Russia,Long-running Russian disinformation operation focused on forging documents and seeding stories across forums,2014-present
Ghostwriter,State Op - Russia,"Belarus/Russia-linked operation that hacks and impersonates officials, primarily targeting NATO/EU",2017-present
Tenet Media,State Op - Russia,"Nashville company that took ~$10M from RT to fund right-wing influencers (Tim Pool, Dave Rubin, Benny Johnson); indicted 2024",2022-2024
Operation INFEKTION,State Op - Russia,"Soviet KGB campaign spreading the lie that the US invented HIV/AIDS as a bioweapon, still echoed today",1983-1989
Active Measures,State Op - Russia,Soviet/Russian intelligence term for political warfare including disinformation and forgeries,Cold War-present
Spamouflage,State Op - China,"Largest known online disinfo network, run by Chinese police; cross-platform pro-CCP harassment",2017-present
Dragonbridge,State Op - China,Alternate name for Spamouflage (Mandiant/Google nomenclature),2017-present
50 Cent Army,State Op - China,Paid CCP commenters who flood Chinese social media to distract and steer opinion,2004-present
Wolf News,State Op - China,Fictitious AI-anchor outlet used by Spamouflage to push anti-US narratives,2022-present
Endless Mayfly,State Op - Iran,Iranian disinfo operation using cloned news sites and inauthentic personas,2016-present
Operation Mockingbird,State Op - Historical,Cold War CIA program to cultivate sympathetic journalists/news outlets,1950s-1970s
COINTELPRO,State Op - Historical,FBI counterintelligence program that smeared civil rights and left groups with forged documents,1956-1971
Curveball,Specific Hoax/Narrative,Fabricator whose lies were laundered into the case for Iraq WMDs,2000-2003
Niger Yellowcake Forgery,Specific Hoax/Narrative,Fake documents alleging Iraq sought uranium from Niger,2001-2003
Firehose of Falsehood,Tactic - Rhetorical,RAND term for high-volume rapid-fire propaganda with no regard for truth or consistency,2016 (term)
